id,name,data
6520baad-c8b8-4080-b504-8988a68b26db,First Trimester,"{""icon"": ""acorn"", ""name"": ""First Trimester"", ""color"": ""#E4E4FF"", ""order"": 3, ""description"": ""Enter the earliest chapter of pregnancy, where tiny changes mean big things—learn what’s happening, what to expect, and how to support yourself along the way."", ""subcategories"": [{""id"": ""c7da3619-e6b2-4e80-ad5b-2189bfb645e0"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""0d034e65-1bad-4ef6-898d-d450a2a0568c"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""0df8fcda-28f2-4fb2-8d80-df8a39a072bd"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""9b69cafd-7200-4007-bef9-ad2c5eb265b6"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""17fbfb84-1633-4a2b-b766-529d3e7a297d"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""8549eb1c-2eb2-42c8-a9ea-0a0980852203"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""New beginnings""}"
e6d3bef3-d3a7-4cfa-8862-b0109c685d37,Conception,"{""icon"": ""sparkle"", ""name"": ""Conception"", ""color"": ""#E1FFD3"", ""order"": 2, ""description"": ""Explore the beauty of conception, what to expect, and how to best navigate these exciting times."", ""subcategories"": [{""id"": ""8b4a87a3-29c4-4db3-af14-c0bf466db316"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""51fadcb6-6c4b-43fd-a9e3-2ba3e5ee1100"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""5cdf6841-b417-450e-853c-0614ff0a67fe"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""06c76047-1a20-4a68-802d-8b08fa5e1437"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""57d9fe51-9692-4f46-9b42-512215e3670e"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""4e464f6a-c49d-40e6-883c-24441031683f"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The spark""}"
0f359d10-1a70-4b2f-8089-fe77069a9ae8,Second Trimester,"{""icon"": ""plant pot"", ""name"": ""Second Trimester"", ""color"": ""#FFFDE4"", ""order"": 4, ""description"": ""Explore the stage where energy returns and baby grows quickly—discover milestones, body changes, and ways to enjoy this exciting middle chapter."", ""subcategories"": [{""id"": ""22d4b858-b815-41be-a74d-593502b7803c"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""5765b5a7-12b4-455a-aec5-acfd20a7dff5"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""8f7a4ce0-1f05-4d64-a495-c6d8d931fbb6"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""4a6a11f4-2c59-4068-86c8-faf3468d67d6"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""463ee8b0-8e8f-4590-839e-8629a90d4299"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""0808c353-1c80-4320-9a08-63f2882e30ee"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The bloom""}"
52faf7f3-2559-4dbf-bc0b-ed0a8e46bebe,Premature Birth,"{""icon"": ""sunrise"", ""name"": ""Premature Birth"", ""color"": ""#C7E3FF"", ""order"": 8, ""description"": ""Step into a journey that begins sooner than expected—learn how to navigate premature birth, understand your baby’s needs, and find strength and support through every small victory."", ""subcategories"": [{""id"": ""c8719c74-b194-4049-a8ff-14f9dfac34ce"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""3835db5d-6c48-4dc4-ae30-286340598290"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""68f3d501-d115-4f9b-9562-5bba6b949e44"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""0e428308-2f3b-48c0-8091-0973013829a5"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""adb5c714-2fa3-4b07-826f-a500fe733ad9"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""44878ce7-1e36-4461-a714-7aec3a7bb58b"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The early arrival""}"
7f74888f-f9c4-44de-9934-be08ef0a51b8,Newborn,"{""icon"": ""hatching egg"", ""name"": ""Newborn"", ""color"": ""#C7E3FF"", ""order"": 9, ""description"": ""Discover the basics of caring for your newborn—from feeding and sleep to soothing and bonding during these precious first weeks."", ""subcategories"": [{""id"": ""c8a81d57-22c6-4794-a7c3-dc45906d6809"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6"", ""ff7f665c-ac4e-4001-bb3b-ff677e22688a""]}, {""id"": ""8922a79a-4816-4ead-8f12-4ea320c61e49"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""34f1bc0c-1ce2-428c-90aa-521593c2b40a"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""3f554837-c1e7-49e7-a45f-561de2710c7a"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""abc2277c-d2ef-4685-8dc7-d46d7b31fbbf"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""7684f3e6-e7f1-48b3-8cb3-d8feea7bff27"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The first hello""}"
8a14315a-3549-4adb-a88c-df7443e82a8f,Year 1,"{""icon"": ""newborn bird"", ""name"": ""Year 1"", ""color"": ""#E1FFD3"", ""order"": 10, ""description"": ""Follow your baby through a year of incredible growth—first smiles, first steps, and the milestones that shape their earliest discoveries."", ""subcategories"": [{""id"": ""31b418d5-2159-4690-95a5-fc7d0a4c00c2"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""75dc8e41-712a-4ab3-916a-474676a442fe"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""b6a6979e-66a4-4d8d-af13-e31d473895bb"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""7087d457-81a8-48d9-8b2d-d9931ba439bf"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""b1ed8fe7-1d7e-45fd-bee4-a685676be1dd"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""b7147d4d-3b2f-4958-838a-94540f32dc8d"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The first steps""}"
52b60df1-5cb6-4159-9c40-6bd905277738,Year 2,"{""icon"": ""young bird"", ""name"": ""Year 2"", ""color"": ""#E4E4FF"", ""order"": 11, ""description"": ""Dive into toddlerhood, where curiosity takes the lead—learn how to support learning, independence, and big emotions."", ""subcategories"": [{""id"": ""66c22520-8f7c-4286-bd65-d1479cfa990d"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""c32d2b48-f355-4d58-b04e-642e48983f8f"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""185063d7-c453-4a88-9618-155f6ae5ca4a"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""3ff6a2eb-8335-4664-ae4c-32212afd769b"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""ef3cff16-b1d1-47af-9559-90739ebdf7ec"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""e3abccf4-e167-4339-a8fb-b247496ecbc0"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The little explorer""}"
8c3f6edb-9414-402e-be98-126fa367cab9,Year 3,"{""icon"": ""bird"", ""name"": ""Year 3"", ""color"": ""#FFFDE4"", ""order"": 12, ""description"": ""Step into a world of stories, creativity, and growing independence as your child begins to explore life through play."", ""subcategories"": [{""id"": ""5832c2e6-d3a3-4784-adb3-daca1787303c"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""e11dfa3d-24ec-4f52-be7c-70c0fbf90928"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""3a027e09-ecc4-4293-add7-ba1d485678c3"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""d5ee4578-739b-4d7a-86cf-bd1acb3e13a6"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""45443b78-ab34-41fc-b779-3724c85b5244"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""85735fa0-fe7f-4a6a-a748-1c754e628480"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The brave adventurer""}"
8613d03c-3be9-4522-a54e-22bb7d756807,Preconception,"{""icon"": ""shooting star"", ""name"": ""Preconception"", ""color"": ""#C7E3FF"", ""order"": 1, ""description"": ""Discover how to care for your body, plan ahead, and create the healthiest foundation before the journey begins."", ""subcategories"": [{""id"": ""17a07d12-1708-48ce-be8d-bb956eea34eb"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""cc2cd061-feae-411b-81ef-eefd803a6c4c"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""25e5e6f1-b89b-4eac-87e5-18f4418b011d"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6"", ""0f085440-9d88-4b44-a925-c0ebb84d9ef1""]}, {""id"": ""78bfae8f-49b8-40a9-b33d-84fcd59f21e8"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""0b2c1262-5b6b-4054-8ac5-6cda44c8970b"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6"", ""0f87a11e-463c-446b-b7ff-67481b860c9e"", ""a7f626cf-cd4f-466a-aeb7-6a4957a9c764""]}, {""id"": ""f375a86b-dda7-407d-8507-70c53e07babe"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The wish""}"
85b698e4-6b04-4d97-b59d-b64222229ba3,Labor and Delivery,"{""icon"": ""flower"", ""name"": ""Labor and delivery"", ""color"": ""#FFE8D6"", ""order"": 6, ""description"": ""Explore the stage where energy returns and baby grows quickly—discover milestones, body changes, and ways to enjoy this exciting middle chapter."", ""subcategories"": [{""id"": ""997d6e52-25fc-4c54-b1f6-73fe6733b56f"", ""icon"": ""analytics-outline"", ""name"": ""Baby’s Growth and Development"", ""color"": ""#E1FFD3"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6"", ""0db8c1cb-c6eb-4d03-bf34-17dcc924e32f""]}, {""id"": ""26afce4e-f756-450e-aa9d-599312cf387f"", ""icon"": ""heart-outline"", ""name"": ""Emotional Wellbeing & Support"", ""color"": ""#FFD6FE"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""f27abdbc-5e7d-4930-bbfe-95b9f907f5df"", ""icon"": ""medical-outline"", ""name"": ""Medical & Nursing Care"", ""color"": ""#C7E3FF"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6"", ""43fb0c4d-aced-4f40-a323-47b7a3a55225""]}, {""id"": ""ab556934-128c-47ab-881d-6d4eb010fb21"", ""icon"": ""nutrition-outline"", ""name"": ""Nutrition & Feeding"", ""color"": ""#FFDADA"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""08ca4d38-6b85-4a2f-9d16-301417273295"", ""icon"": ""fitness-outline"", ""name"": ""Physical Wellbeing"", ""color"": ""#FFFDE4"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}, {""id"": ""a2ee30b1-dff7-4d74-a461-6218e5672c66"", ""icon"": ""shield-checkmark-outline"", ""name"": ""Safety"", ""color"": ""#FFE8D6"", ""infographics"": [""d5a72e8f-d301-4c67-9074-4b301983aad6""]}], ""secondary_name"": ""The arrival""}"
