id,title,description,video_url,video_id,infographic_url,infographic_description,thumbnail_url,transcript,url,path
25a52fbf-789b-4afd-aad7-10a9e29207ae,Pregnancy Trimesters for Fathers,"In this video, learn about what to expect your partner to experience throughout pregnancy.",https://youtu.be/zRPJ8k1pASk?si=zAoZA1X4b96HvxY_,zRPJ8k1pASk,https://oliviahealth.org/wp-content/uploads/2023/03/Trimesters-Explained-for-Fathers-Infographic_NC.png,"In this infographic, learn about pregnancy trimesters for fathers.",https://oliviahealth.org/wp-content/uploads/2023/03/Trimesters-Fathers.png,Trimesters explained for fathers and what to expect here are a few things you can expect your partner to experience throughout the pregnancy during the first trimester your partner may experience morning sickness however this could happen at night as well the biggest change is that your partner will need more rest during this period during the second trimester your partner's body has adjusted to being pregnant so her energy levels improve morning sickness usually goes away and she typically feels better physically as well during the third trimester your partner may experience discomfort have trouble sleeping and have trouble doing routine tasks since your body is now getting ready for birth [Music] the next step is labor which is between 10 to 20 hours and occurs in three stages it's important to note that during an emergency you may be asked to leave the room just know that if they can't tell you in the moment it is because they must act quickly and someone will explain it to you later during labor your support is so helpful and extremely beneficial to your partner so don't forget that your role during all of this is important too.,https://oliviahealth.org/2023/03/07/pregnancy-trimesters-for-fathers/,quick_tips/25a52fbf-789b-4afd-aad7-10a9e29207ae-Trimesters-Explained-for-Fathers-Infographic_NC.png
07f4debb-d666-4d5a-8f72-6f267ec8de37,Pregnancy Trimesters,Learn about the three pregnancy trimesters and what to expect in each trimester.,https://youtu.be/3JaFsNkwB2o?si=Puoof-6PzdFuWbpR,3JaFsNkwB2o,https://oliviahealth.org/wp-content/uploads/2023/03/PregnancyInTrimestersInfographic.png,"In this infographic, learn about pregnancy trimesters.",https://oliviahealth.org/wp-content/uploads/2023/03/Pregnancy-Trimesters.png,Pregnancy in trimesters a pregnancy is divided into three trimesters you will encounter different experiences at each stage in your pregnancy each trimester is about 12 to 14 weeks and a full-term pregnancy lasts about 40 weeks here are some of the things you can expect in each trimester the first trimester is from 0 to 13 weeks you'll experience many hormonal changes the baby's body and organs develop you'll have morning sickness Cravings or food aversions fatigue sore breasts frequent urination and this is a crucial time period for baby development the second trimester is 14 to 26 weeks most of the unpleasant symptoms will go away you'll experience increased energy and better sleep back pain constipation leg cramps stretch marks swollen ankles face and fingers baby's first movements and you may be able to do your ultrasound to determine the gender third trimester is 27 to 40 weeks this is the last stretch of pregnancy you may experience excitement and nervousness for the birth shortness of breath urinary incontinence or leaking sleeping issues leaky breasts and contractions remember that each women's experiences are different your trimesters may play out differently from what another expecting mother is experiencing your trimesters may even be different from one pregnancy to the next.,https://oliviahealth.org/2023/03/07/pregnancy-trimesters/,quick_tips/07f4debb-d666-4d5a-8f72-6f267ec8de37-PregnancyInTrimestersInfographic.png
073ea92a-0dfe-459d-aa2a-180491447b39,Signs of Pregnancy,Learn some of the common symptoms of early pregnancy.,https://youtu.be/iLvwb9QL9Dw?si=ym6xfSFTMPP5_PcH,iLvwb9QL9Dw,https://oliviahealth.org/wp-content/uploads/2023/03/SignsYouMightBePregnantInfographic.png,"In this infographic, learn about signs of pregnancy.",https://oliviahealth.org/wp-content/uploads/2023/03/Signs.png,Signs you might be pregnant a missed period This is a common sign of early pregnancy if it has been more than a week since you expected your period you might be pregnant however this is not a sure sign as some women have an irregular period swollen and tender breasts hormonal changes that come with pregnancy may cause sore and swollen breasts early on nausea and vomiting you may know this as morning sickness which is nausea that occurs due to pregnancy though it is called morning sickness it can occur at any time of the day frequent urination pregnancy causes the amount of fluid in your body to increase resulting in more frequent urination fatigue if you're sleepier than usual throughout the day it could be a sign of pregnancy these are all common symptoms of early pregnancy but they are not 100 identifiers the best way to know if you are pregnant is to take a pregnancy test.,https://oliviahealth.org/2023/03/07/signs-of-pregnancy/,quick_tips/073ea92a-0dfe-459d-aa2a-180491447b39-SignsYouMightBePregnantInfographic.png
31d64f93-19f9-4578-9916-0650a2c51358,Preparing for Labor,Learn about how to prepare for giving birth as you come upon your due date.,https://youtu.be/nedCPn7AfcU?si=uCHsCQEXRXGld2va,nedCPn7AfcU,https://oliviahealth.org/wp-content/uploads/2023/03/PrepareForLaborInfographic.png,"In this infographic, learn about preparing for labor.",https://oliviahealth.org/wp-content/uploads/2023/03/Preparing.png,How to prepare for giving birth being pregnant can cause a lot of stress you may be worried about your baby your job your family and more a great thing you could do to ease your stress as you come upon your due date is to prepare yourself for labor eat nutritious Foods fueling your body with healthy foods leading up to childbirth will Aid in keeping you and your baby healthy this can include lean meats fish whole grains fruits nuts and veggies move your body being pregnant can make it hard to work out but there are many mental and physical benefits that come with exercise labor itself is hard work and if you engage in regular exercise leading up to labor your body will be strong and well equipped for childbirth this can include walking swimming yoga Pilates and other low impact exercises take a child birth class this is a wonderful way to learn more about what to expect so you feel more confident going into labor there are many different types of classes available ranging from breathing techniques to newborn care rest get seven to eight hours of sleep per night especially leading up to labor mindset goes a long way so being mindful or practicing deep breathing exercises can help you feel relaxed during labor pack your hospital bag labor can come on so quickly and unexpectedly so having a bag packed can assist in removing some of the stress this can include items such as outfits for you your partner and your baby maybe a phone charger any necessary identification documents snacks toiletries and more stock up on groceries and household items your newborn baby will be keeping you busy and the last thing you'll want to do is go on a grocery run ask questions you'll feel more at ease if you're not worried about a bunch of different things talk to your doctor or childbirth class instructors it is good to have a general plan going into labor but things may not go exactly how you expect what is important is that mother and baby are happy and healthy so don't let the little thing stress you out too much foreign.,https://oliviahealth.org/2023/03/07/preparing-for-labor/,quick_tips/31d64f93-19f9-4578-9916-0650a2c51358-PrepareForLaborInfographic.png
5142f711-67db-48ce-9226-4ca0aa6ea815,Maternal Anexity,Learn about recognizing and preventing maternal anxiety.,https://youtu.be/dDtcDReUQFU?si=fTUF4w1Y51onr2ah,dDtcDReUQFU,https://oliviahealth.org/wp-content/uploads/2023/03/MaternalAnxietyInfographic.png,"In this infographic, learn about maternal anxiety.",https://oliviahealth.org/wp-content/uploads/2023/03/Maternal-Anxiety.png,Maternal anxiety recognition and prevention you've probably heard of postpartum depression but what about postpartum anxiety it's real but not talked about very much how can you tell if you're concerned about your newborn or if you have maternal anxiety how much worrying is too much worrying what is maternal anxiety maternal anxiety occurs during and after pregnancy it's excessive worrying racing thoughts bad feelings and Dread some worry is natural during pregnancy or after giving birth but these worries should not be severe and will eventually go away it becomes a problem when they do not go away or are irrational does this only present after the baby is born not necessarily it can occur during pregnancy as well during pregnancy this may present as excessive worry throughout it you may ask yourself is my baby's heart beating is my baby healthy feeling them kick or move around and hearing their heartbeat does not ease the worry Is this different from postpartum depression they are different but they commonly go hand in hand depression is Extreme sadness while anxiety is Extreme worry women are at a higher risk of developing maternal anxiety if they've dealt with anxiety in the past these feelings can be caused by not only a history of anxiety but also by hormones a history of depression and a history of miscarriage or infant loss ways to cope with maternal anxiety maternal anxiety presents in up to 20 percent of women a spouse can also experience parental anxiety even if they did not birth the baby ways to cope include therapy meditation exercise healthy distractions and medication from a provider if you have any concerns contact your health care provider foreign.,https://oliviahealth.org/2023/03/07/maternal-anxiety/,quick_tips/5142f711-67db-48ce-9226-4ca0aa6ea815-MaternalAnxietyInfographic.png
f40224bf-d6e6-400f-8aee-c302a43e1187,Foods to Avoid,Learn about food to avoid consuming during pregnancy.,https://youtu.be/_YpicGALQMs?si=6JNPKW8QNGbkvISw,_YpicGALQMs,https://oliviahealth.org/wp-content/uploads/2023/03/Foods-to-avoid-during-pregnancy-infographic_NC.png,"In this infographic, learn about foods to avoid when pregnant.",https://oliviahealth.org/wp-content/uploads/2023/03/Foods.png,Foods to avoid while pregnant [Music] when you're pregnant you're eating for two and one of those two are your developing baby it's important to know what foods should not be consumed during pregnancy and why first up is undercooked meat and undercooked Seafood as a pregnant mother you're going to want to avoid these because they may contain dangerous bacteria toxoplasmosis is a blood infection and salmonella is a type of food poisoning each of these can cause dangerous complications in your pregnancy shellfish is the most common cause of seafood-borne illnesses this can include oysters clams mussels shrimp and lobster these Foods may contain dangerous algae that should not be consumed at any time and especially not during pregnancy have you ever heard people say not to eat raw cookie dough well this is especially important when you're pregnant raw eggs or foods that contain them are not recommended for expecting mothers due to the salmonella risk watch out for homemade mayonnaise custards and ice cream these Foods tend to be safe when bought from a grocery store because pasteurized products are used so just be weary of homemade foods Brie feta Camembert Gorgonzola and other soft cheeses may contain a bacteria called listeria listeria can cross the placenta and infect your baby which can be life-threatening you should always check to make sure the cheeses you're eating were made with pasteurized milk following that you should never consume unpasteurized milk or dairy products some types of fish contain high levels of mercury which is a substance that has been linked to fetal development issues during pregnancy examples include swordfish king mackerel and some tuna canned tuna has a lower amount of mercury than other Tunas but it should still be eaten in moderation deli meat is another food that is commonly contaminated with listeria if you're really craving a ham or turkey sandwich you can thoroughly cook the deli meat on a stove to kill the bacteria it's not that you can't eat veggies you're actually highly encouraged to they're a great source of fiber just make sure you thoroughly wash those veggies that you get from the grocery store because if not they can be dangerous for your baby this is because they may be carrying toxoplasmosis from the soil that they are grown in be wary of pre-packaged veggie trays from the store and raw veggies from somewhere other than your kitchen no amount of alcohol should be consumed during pregnancy if a baby is exposed to alcohol they're subject to developmental issues it can also cause fetal alcohol syndrome which can harm your child alcohol should also be avoided during breastfeeding and that is it those are some of the foods that should be avoided throughout your pregnancy to assist with the Healthy Growth of your baby.,https://oliviahealth.org/2023/03/07/foods-to-avoid/,quick_tips/f40224bf-d6e6-400f-8aee-c302a43e1187-Foods-to-avoid-during-pregnancy-infographic_NC.png
2f219fff-a288-4886-a23c-60d2046a0d37,Father of a Premature Baby,"In this video, learn about what to expect as the father to a premature baby.",https://youtu.be/pCnZDjP7xZY,pCnZDjP7xZY,https://oliviahealth.org/wp-content/uploads/2023/03/What-to-Expect-as-a-Father-of-a-Premature-Baby-Infographic_NC.png,"In this infographic, learn about being a father of a premature baby.",https://oliviahealth.org/wp-content/uploads/2023/03/Father.png,What to expect as a father of a premature baby as a father you may feel mixed emotions about this experience joy as well as fear for some of the unknown challenges you may also feel overwhelmed at times the important thing to remember is that this is completely natural it's healthy for you to take the time to think about these emotions and your needs take a shower go on a walk take a quick nap do whatever you need to do in order to acknowledge these feelings and take care of yourself this will lead you to having more energy to care for your partner and baby as well being a part of your baby's care is another way to bond with your child and help with this whole process helping with feeding bathing or changing are all easy ways to get involved talk to the hospital staff if you ever feel left out and they can help another thing to note is that you may have extra responsibilities while your child is in the NICU such as making trips to the hospital while also balancing grocery shopping going to work and taking care of other children [Music] this can be overwhelming for anyone so remember it is okay to get help talk to your partner family members or friends to get the support you may need during this time.,https://oliviahealth.org/2023/03/07/father-of-a-premature-baby/,quick_tips/2f219fff-a288-4886-a23c-60d2046a0d37-What-to-Expect-as-a-Father-of-a-Premature-Baby-Infographic_NC.png
54134304-fd84-4ffa-9114-85f819112efa,Exercise After Birth,"In this video, learn about the benefits and types of postpartum exercise.",https://youtu.be/BdUkPQijM3E,BdUkPQijM3E,https://oliviahealth.org/wp-content/uploads/2023/03/ExerciseAfterGivingBirthInfographic.png,"In this infographic, learn about exercise after birth.",https://oliviahealth.org/wp-content/uploads/2023/03/Exercise.png,What to know about exercise after giving birth after giving birth it may be difficult to get into a workout routine but there are many benefits that exercise can bring in the postpartum period here are some of the benefits it can strengthen abdominal and lower back muscles promote better sleep aid and stress relief improve your mood raise energy levels improve your heart health help to prevent postpartum depression and can help to lose extra weight gained while pregnant your doctor should always be consulted when you're planning to begin exercising as clearance to exercise can depend on many individual factors in general you should be able to begin exercising once you feel comfortable enough to do so an example of this would be going on walks six weeks after birth tends to be when your body returns to normal after the changes that came with pregnancy this might be different for women who had a cesarean birth or complications when giving birth remember to take it slow and listen to your body begin with low impact exercises and gradually work up to higher intensities stop exercising if you feel any pain it is suggested that people get 150 minutes of exercise per week which could be split into 30 minutes a day for 5 days here are some workouts that you could try walking swimming yoga Pilates lightweight training and cycling foreign.,https://oliviahealth.org/2023/03/07/exercise-after-birth/,quick_tips/54134304-fd84-4ffa-9114-85f819112efa-ExerciseAfterGivingBirthInfographic.png
3ea88251-346d-4a2d-aadb-5522cc464602,C-Section vs. Vaginal Birth,Learn about differences between cesarean births and vaginal births.,https://youtu.be/Vicp3LT30sU,Vicp3LT30sU,https://oliviahealth.org/wp-content/uploads/2023/03/CesareanVsVaginalBirthInfographic.png,"In this infographic, learn about C-sections vs. vaginal births.",https://oliviahealth.org/wp-content/uploads/2023/03/C-Section.png,Cesarean birth versus vaginal birth if you are expecting a baby you may have wondered whether a cesarean birth or a C-section or a vaginal birth is the best choice for you it is very important to be educated on each of these options so you can make the best decision for you and your baby usually vaginal birth is safer than a C-section for most women and babies however in some instances a C-section is the only safe option depending on the baby's positioning and other factors you might be wondering what a C-section is a C-section is when a baby is delivered through a surgical incision made through the abdomen and the uterus some benefits to a C-section would be that it is a safer option for you than a vaginal birth your provider May recommend it depending on your situation an example of this is when the baby is positioned feet or bottom first harms of a C-section include longer recovery time than vaginal birth this is a surgical procedure so there are risks of infection and serious bleeding C-sections can cause chronic pain for the mother and babies are at increased risk of childhood diseases such as asthma benefits to vaginal birth include the fact that it is easier on the body than a C-section the bacteria that the baby is exposed to Aid in decreasing the chance that the baby will have chronic diseases in the future harms of vaginal birth are that the vaginal tissue can stretch and tear most of the time these are minor and can heal but sometimes they are more severe this can also cause bladder and bowel weakness so there can be leakage after giving birth one thing to know is that if you have a C-section for one baby you will need to birth all of your following babies the same way if you wish for more information about Which choice is best for you and your situation reach out to your provider they will help you to become informed so you can make a decision.,https://oliviahealth.org/2023/03/07/c-section-vs-vaginal-birth/,quick_tips/3ea88251-346d-4a2d-aadb-5522cc464602-CesareanVsVaginalBirthInfographic.png
ada5c697-259c-401d-ac2f-c1042a451059,Pregnancy Cravings,Learn about cravings and how to proceed with pregnancy cravings.,https://youtu.be/yVlH8UcGwtU,yVlH8UcGwtU,https://oliviahealth.org/wp-content/uploads/2023/03/Pregnancy-cravings-Infographic_NC.png,"In this infographic, learn about pregnancy cravings.",https://oliviahealth.org/wp-content/uploads/2023/03/Cravings.png,Pregnancy cravings pregnancy cravings are when you have a strong desire to eat a certain food the Cravings could be very common foods or they could be Foods you don't typically enjoy [Music] Additionally you may begin to dislike certain foods that have strong flavors or smells it is okay to give in to the Cravings as long as it's done in moderation be careful with sugary Cravings though as too much could lead to excessive weight gain dental problems or make gestational diabetes worse here are a few tips to manage the Cravings regular healthy meals can prevent sudden moments of hunger as well as eating low glycemic index foods which will keep you feeling full and energized for longer drinking lots of water helps too something else to be aware of is a condition called Pika which means craving dirt Clay and other non-food items if you are experiencing these non-food Cravings talk to your doctor or health care provider just to ensure everything in your body is balanced.,https://oliviahealth.org/2023/03/07/pregnancy-cravings/,quick_tips/ada5c697-259c-401d-ac2f-c1042a451059-Pregnancy-cravings-Infographic_NC.png
